Date,Scenario A,Scenario B,Scenario C,Scenario D,Scenario E,Scenario F,Scenario G,Scenario H,Scenario I,Scenario J,Scenario K,Scenario L,Scenario M,Scenario N,Scenario O,Scenario P
20/12/2017,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,15012.90323,13512.90323,15012.90323,6864.516129,7074.193548,13512.90323,7580.645161,7580.645161
21/12/2017,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,15012.90323,13512.90323,15012.90323,6864.516129,7074.193548,13512.90323,7580.645161,7580.645161
22/12/2017,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,15012.90323,13512.90323,15012.90323,6864.516129,7074.193548,13512.90323,7580.645161,7580.645161
23/12/2017,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,15012.90323,13512.90323,15012.90323,6864.516129,7074.193548,13512.90323,7580.645161,7580.645161
24/12/2017,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,15012.90323,13512.90323,15012.90323,6864.516129,7074.193548,13512.90323,7580.645161,7580.645161
25/12/2017,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,15012.90323,13512.90323,15012.90323,6864.516129,7074.193548,13512.90323,7580.645161,7580.645161
26/12/2017,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,15012.90323,13512.90323,15012.90323,6864.516129,7074.193548,13512.90323,7580.645161,7580.645161
27/12/2017,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,15012.90323,13512.90323,15012.90323,6864.516129,7074.193548,13512.90323,7580.645161,7580.645161
28/12/2017,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,15012.90323,13512.90323,15012.90323,6864.516129,7074.193548,13512.90323,7580.645161,7580.645161
29/12/2017,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,15012.90323,13512.90323,15012.90323,6864.516129,7074.193548,13512.90323,7580.645161,7580.645161
30/12/2017,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,15012.90323,13512.90323,15012.90323,6864.516129,7074.193548,13512.90323,7580.645161,7580.645161
31/12/2017,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,15012.90323,13512.90323,15012.90323,6864.516129,7074.193548,13512.90323,7580.645161,7580.645161
1/01/2018,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
2/01/2018,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
3/01/2018,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
4/01/2018,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
5/01/2018,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
6/01/2018,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
7/01/2018,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
8/01/2018,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
9/01/2018,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
10/01/2018,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
11/01/2018,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
12/01/2018,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
13/01/2018,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
14/01/2018,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
15/01/2018,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
16/01/2018,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
17/01/2018,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
18/01/2018,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
19/01/2018,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
20/01/2018,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
21/01/2018,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
22/01/2018,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
23/01/2018,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
24/01/2018,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
25/01/2018,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
26/01/2018,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
27/01/2018,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
28/01/2018,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
29/01/2018,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
30/01/2018,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
31/01/2018,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
1/02/2018,6678.571429,6678.571429,6678.571429,6678.571429,6678.571429,6678.571429,6678.571429,6678.571429,6678.571429,9235.714286,9235.714286,6678.571429,6678.571429,9235.714286,6678.571429,6678.571429
