Date,CR,L6,Pike,L5,Kat,L4
11/04/2018,16.45,19.25,14.55,16.3,10,13.2
12/04/2018,16.45,19.25,14.55,16.3,10,13.2
13/04/2018,16.45,19.25,14.55,16.3,10,13.2
14/04/2018,16.45,19.25,14.55,16.3,10,13.2
15/04/2018,16.45,19.25,14.55,16.3,10,13.2
16/04/2018,16.45,19.25,14.55,16.3,10,13.2
17/04/2018,16.45,19.25,14.55,16.3,10,13.2
18/04/2018,16.45,19.25,14.55,16.3,10,13.2
19/04/2018,16.45,19.25,14.55,16.3,10,13.2
20/04/2018,16.45,19.25,14.55,16.3,10,13.2
21/04/2018,16.45,19.25,14.55,16.3,10,13.2
22/04/2018,16.45,19.25,14.55,16.3,10,13.2
23/04/2018,16.45,19.25,14.55,16.3,10,13.2
24/04/2018,16.45,19.25,14.55,16.3,10,13.2
25/04/2018,16.45,19.25,14.55,16.3,10,13.2
26/04/2018,16.45,19.25,14.55,16.3,10,13.2
27/04/2018,16.45,19.25,14.55,16.3,10,13.2
28/04/2018,16.45,19.25,14.55,16.3,10,13.2
29/04/2018,16.45,19.25,14.55,16.3,10,13.2
30/04/2018,16.45,19.25,14.55,16.3,10,13.2
1/05/2018,16.45,19.25,14.55,16.3,10,13.2
2/05/2018,16.45,19.25,14.55,16.3,10,13.2
3/05/2018,16.45,19.25,14.55,16.3,10,13.2
4/05/2018,16.45,19.25,14.55,16.3,10,13.2
5/05/2018,16.45,19.25,14.55,16.3,10,13.2
6/05/2018,16.45,19.25,14.55,16.3,10,13.2
7/05/2018,16.45,19.25,14.55,16.3,10,13.2
8/05/2018,16.45,19.25,14.55,16.3,10,13.2
9/05/2018,16.45,19.25,14.55,16.3,10,13.2
10/05/2018,16.45,19.25,14.55,16.3,10,13.2
11/05/2018,16.45,19.25,14.55,16.3,10,13.2
12/05/2018,16.45,19.25,14.55,16.3,10,13.2
13/05/2018,16.45,19.25,14.55,16.3,10,13.2
14/05/2018,16.45,19.25,14.55,16.3,10,13.2
15/05/2018,16.45,19.25,14.55,16.3,10,13.2
16/05/2018,16.45,19.25,14.55,16.3,10,13.2
17/05/2018,16.45,19.25,14.55,16.3,10,13.2
18/05/2018,16.45,19.25,14.55,16.3,10,13.2
19/05/2018,16.45,19.25,14.55,16.3,10,13.2
20/05/2018,16.45,19.25,14.55,16.3,10,13.2
21/05/2018,16.45,19.25,14.55,16.3,10,13.2
22/05/2018,16.45,19.25,14.55,16.3,10,13.2
23/05/2018,16.45,19.25,14.55,16.3,10,13.2
24/05/2018,16.45,19.25,14.55,16.3,10,13.2
25/05/2018,16.45,19.25,14.55,16.3,10,13.2
26/05/2018,16.45,19.25,14.55,16.3,10,13.2
27/05/2018,16.45,19.25,14.55,16.3,10,13.2
28/05/2018,16.45,19.25,14.55,16.3,10,13.2
29/05/2018,16.45,19.25,14.55,16.3,10,13.2
