Date,Lock6,Lock5,Lock4,Lock3,Lock2,Lock1,Chowilla
28/08/1997,19.27866667,16.33786667,13.2352,9.8212,6.151533333,3.2537,16.4
29/08/1997,19.281,16.3392,13.2365,9.8233,6.1502,3.254033333,16.4
30/08/1997,19.28333333,16.34053333,13.2379,9.8256,6.149,3.2543,16.4
31/08/1997,19.2856,16.34193333,13.23953333,9.827933333,6.148433333,3.254333333,16.4
1/09/1997,19.2875,16.34356667,13.24113333,9.830333333,6.1485,3.254333333,16.4
2/09/1997,19.28913333,16.34536667,13.2427,9.833033333,6.149233333,3.2546,16.4
3/09/1997,19.29156667,16.34753333,13.2449,9.836,6.150266667,3.255966667,16.4
4/09/1997,19.2934,16.34923333,13.24686667,9.838866667,6.1499,3.257733333,16.4
5/09/1997,19.2944,16.35083333,13.24843333,9.8412,6.1478,3.258533333,16.4
6/09/1997,19.2949,16.352,13.24943333,9.843033333,6.145766667,3.258366667,16.4
7/09/1997,19.29456667,16.35226667,13.25,9.843966667,6.1437,3.2582,16.4
8/09/1997,19.29386667,16.35193333,13.2498,9.8443,6.141066667,3.257433333,16.4
9/09/1997,19.29296667,16.3513,13.24856667,9.844266667,6.137766667,3.256166667,16.4
10/09/1997,19.292,16.35036667,13.24716667,9.844033333,6.136866667,3.254766667,16.4
11/09/1997,19.2901,16.3484,13.24553333,9.844066667,6.1373,3.2532,16.4
12/09/1997,19.2884,16.34616667,13.24393333,9.844266667,6.136933333,3.251966667,16.4
13/09/1997,19.28813333,16.34433333,13.2425,9.843966667,6.134866667,3.251066667,16.4
14/09/1997,19.2886,16.34333333,13.24096667,9.8437,6.131866667,3.249466667,16.4
15/09/1997,19.28863333,16.34276667,13.24003333,9.843733333,6.1287,3.247866667,16.4
16/09/1997,19.28856667,16.34273333,13.23966667,9.844033333,6.126333333,3.2467,16.4
17/09/1997,19.28826667,16.3428,13.23913333,9.844233333,6.125533333,3.2463,16.4
18/09/1997,19.28773333,16.34283333,13.238,9.843933333,6.125933333,3.246033333,16.4
19/09/1997,19.28666667,16.342,13.23723333,9.8436,6.1259,3.245933333,16.4
20/09/1997,19.28633333,16.3413,13.2362,9.843066667,6.125433333,3.245566667,16.4
21/09/1997,19.2865,16.34076667,13.23503333,9.841666667,6.1245,3.244866667,16.4
22/09/1997,19.28766667,16.3408,13.23443333,9.839666667,6.123633333,3.243833333,16.4
23/09/1997,19.2897,16.34116667,13.2345,9.837433333,6.123266667,3.242533333,16.4
24/09/1997,19.29103333,16.34166667,13.23506667,9.835466667,6.123133333,3.241133333,16.4
25/09/1997,19.292,16.34163333,13.2355,9.8337,6.1239,3.239566667,16.4
26/09/1997,19.29276667,16.34146667,13.23593333,9.831933333,6.125566667,3.238466667,16.4
27/09/1997,19.29373333,16.3419,13.23566667,9.830933333,6.127533333,3.2383,16.4
28/09/1997,19.29473333,16.34273333,13.23533333,9.830233333,6.129533333,3.238066667,16.4
29/09/1997,19.29573333,16.3431,13.23506667,9.829633333,6.131466667,3.2381,16.4
30/09/1997,19.29673333,16.34343333,13.23503333,9.829266667,6.132933333,3.2384,16.4
1/10/1997,19.29746667,16.34363333,13.23503333,9.828933333,6.1336,3.2388,16.4
2/10/1997,19.29743333,16.34333333,13.23456667,9.828466667,6.133766667,3.2391,16.4
3/10/1997,19.29843333,16.3433,13.23246667,9.827533333,6.133366667,3.238066667,16.4
4/10/1997,19.30083333,16.3445,13.23076667,9.8266,6.1339,3.236566667,16.4
5/10/1997,19.30286667,16.34583333,13.23036667,9.8261,6.135333333,3.2356,16.4
6/10/1997,19.30486667,16.3471,13.2302,9.8264,6.136333333,3.2348,16.4
7/10/1997,19.30686667,16.34806667,13.22963333,9.827133333,6.137033333,3.233566667,16.4
8/10/1997,19.3088,16.3488,13.22926667,9.828033333,6.1379,3.232766667,16.4
9/10/1997,19.30983333,16.3495,13.22893333,9.828633333,6.138766667,3.232833333,16.4
10/10/1997,19.30873333,16.3492,13.2286,9.828933333,6.136633333,3.2334,16.4
11/10/1997,19.30886667,16.3487,13.228,9.828833333,6.132633333,3.233633333,16.4
12/10/1997,19.30993333,16.34856667,13.22636667,9.828,6.1284,3.233033333,16.4
13/10/1997,19.3103,16.34826667,13.2244,9.8264,6.125866667,3.231066667,16.4
14/10/1997,19.3103,16.34793333,13.2224,9.824733333,6.124833333,3.228766667,16.4
15/10/1997,19.3103,16.34746667,13.2204,9.823,6.1255,3.2265,16.4
16/10/1997,19.31036667,16.3465,13.21853333,9.8211,6.126766667,3.2246,16.4
17/10/1997,19.31066667,16.3455,13.2174,9.819666667,6.1279,3.2233,16.4
18/10/1997,19.31113333,16.3447,13.21703333,9.8192,6.128166667,3.222333333,16.4
19/10/1997,19.3119,16.3445,13.21583333,9.8187,6.127833333,3.2218,16.4
20/10/1997,19.31183333,16.3439,13.21486667,9.8189,6.127333333,3.221833333,16.4
21/10/1997,19.3111,16.3431,13.2141,9.8202,6.127333333,3.2222,16.4
22/10/1997,19.30963333,16.34173333,13.21306667,9.8219,6.1277,3.222966667,16.4
23/10/1997,19.30756667,16.3401,13.2117,9.8238,6.128266667,3.2243,16.4
24/10/1997,19.30623333,16.33863333,13.21016667,9.825366667,6.128366667,3.225866667,16.4
25/10/1997,19.30526667,16.3379,13.20903333,9.8265,6.127266667,3.227,16.4
26/10/1997,19.3045,16.3371,13.208,9.827466667,6.125066667,3.2271,16.4
27/10/1997,19.3034,16.3356,13.20783333,9.827066667,6.1217,3.225866667,16.4
28/10/1997,19.30176667,16.33346667,13.20746667,9.825866667,6.1178,3.224533333,16.4
29/10/1997,19.30016667,16.33176667,13.20676667,9.824766667,6.1143,3.2232,16.4
30/10/1997,19.29886667,16.3301,13.2058,9.823466667,6.111833333,3.221866667,16.4
31/10/1997,19.29796667,16.32876667,13.20506667,9.822333333,6.110666667,3.220333333,16.4
1/11/1997,19.29726667,16.3284,13.20563333,9.822,6.111033333,3.218866667,16.4
2/11/1997,19.29513333,16.3269,13.20743333,9.822033333,6.113,3.220066667,16.4
3/11/1997,19.29223333,16.3244,13.20886667,9.8224,6.1146,3.220833333,16.4
4/11/1997,19.29053333,16.3221,13.2093,9.823033333,6.116866667,3.2216,16.4
5/11/1997,19.28936667,16.32033333,13.20983333,9.8237,6.119133333,3.222933333,16.4
6/11/1997,19.28876667,16.31956667,13.21103333,9.824366667,6.1209,3.224533333,16.4
7/11/1997,19.2875,16.3188,13.2122,9.825166667,6.121533333,3.225666667,16.4
8/11/1997,19.28666667,16.31776667,13.21356667,9.826333333,6.121466667,3.2258,16.4
9/11/1997,19.28783333,16.31793333,13.214,9.826833333,6.120666667,3.224933333,16.4
10/11/1997,19.28896667,16.31896667,13.21446667,9.8265,6.119,3.224166667,16.4
11/11/1997,19.28923333,16.3193,13.21536667,9.826,6.117766667,3.223266667,16.4
12/11/1997,19.28886667,16.31926667,13.216,9.826033333,6.1191,3.2227,16.4
13/11/1997,19.2883,16.31893333,13.21643333,9.826266667,6.1202,3.222833333,16.4
14/11/1997,19.288,16.31866667,13.21703333,9.826433333,6.120333333,3.2237,16.4
15/11/1997,19.28803333,16.31863333,13.2175,9.827,6.120533333,3.224266667,16.4
16/11/1997,19.28803333,16.3187,13.21853333,9.827366667,6.120266667,3.224366667,16.4
17/11/1997,19.28676667,16.31886667,13.22,9.8277,6.120133333,3.224533333,16.4
