Date,SA Only_ Ops - Daily Total Barrage Released (ML.day^-1)
2017-07-02,1981.0999999999999
2017-07-03,939.79999999999995
2017-07-04,131.78999999999999
2017-07-05,1198.73
2017-07-06,6291.8100000000004
2017-07-07,4318.8299999999999
2017-07-08,812.09000000000003
2017-07-09,1068.8499999999999
2017-07-10,2312.21
2017-07-11,3225.6999999999998
2017-07-12,8861.4899999999998
2017-07-13,14443.450000000001
2017-07-14,8831.75
2017-07-15,10089.85
2017-07-16,11705.65
2017-07-17,3579.6700000000001
2017-07-18,-94.700000000000003
2017-07-19,-6.0899999999999999
2017-07-20,5276.9200000000001
2017-07-21,9695.1200000000008
2017-07-22,6817.8699999999999
2017-07-23,5144.9799999999996
2017-07-24,6718.7200000000003
2017-07-25,6726.8000000000002
2017-07-26,6757.25
2017-07-27,10476.200000000001
2017-07-28,7629.5699999999997
2017-07-29,778.75999999999999
2017-07-30,3047.27
2017-07-31,5720.1099999999997
2017-08-01,8763.75
2017-08-02,13176.709999999999
2017-08-03,14756.76
2017-08-04,9555.3799999999992
2017-08-05,41.710000000000001
2017-08-06,-84.120000000000005
2017-08-07,-63.049999999999997
2017-08-08,2119.0999999999999
2017-08-09,7076.2200000000003
2017-08-10,5131.71
2017-08-11,273.81
2017-08-12,1079.3599999999999
2017-08-13,1364.8599999999999
2017-08-14,8398.6700000000001
2017-08-15,7341.7700000000004
2017-08-16,-13.960000000000001
2017-08-17,-77.049999999999997
2017-08-18,-135.44999999999999
2017-08-19,66.680000000000007
2017-08-20,158.90000000000001
2017-08-21,6883.2299999999996
2017-08-22,9770.5799999999999
2017-08-23,7326.2600000000002
2017-08-24,7836.9499999999998
2017-08-25,8367.8600000000006
2017-08-26,7322.8000000000002
2017-08-27,6736.1599999999999
2017-08-28,6679.2799999999997
2017-08-29,5861.6800000000003
2017-08-30,6231.3599999999997
2017-08-31,7109.1999999999998
2017-09-01,11585.610000000001
2017-09-02,7526.1400000000003
2017-09-03,6.6799999999999997
2017-09-04,-37.799999999999997
2017-09-05,-24.710000000000001
2017-09-06,2191.2600000000002
2017-09-07,5907.1899999999996
2017-09-08,2770.5500000000002
2017-09-09,2514.9299999999998
2017-09-10,2739.0700000000002
2017-09-11,4461.04
2017-09-12,3526.02
2017-09-13,11.02
2017-09-14,1119.1700000000001
2017-09-15,2155.1900000000001
2017-09-16,2338.48
2017-09-17,2970.71
2017-09-18,1841.6900000000001
2017-09-19,1752.4200000000001
2017-09-20,2621.5999999999999
2017-09-21,2381.4299999999998
2017-09-22,2060.29
2017-09-23,1016.71
2017-09-24,644.91999999999996
2017-09-25,747.78999999999996
2017-09-26,1949.9200000000001
2017-09-27,2215.1500000000001
2017-09-28,1638.45
2017-09-29,1874.1800000000001
2017-09-30,1723.9200000000001
2017-10-01,2019.27
2017-10-02,2244.48
2017-10-03,2342.79
2017-10-04,2207.6900000000001
2017-10-05,1327.5899999999999
2017-10-06,1815.72
2017-10-07,2145.1799999999998
2017-10-08,1650.1900000000001
2017-10-09,1508.4200000000001
2017-10-10,1802.9000000000001
2017-10-11,1512.1800000000001
2017-10-12,1325.52
2017-10-13,1505.98
2017-10-14,1716.1400000000001
2017-10-15,1873.8499999999999
2017-10-16,2639.1700000000001
2017-10-17,3782.7800000000002
2017-10-18,3947.5700000000002
2017-10-19,2951.2800000000002
2017-10-20,2422.6399999999999
2017-10-21,2016.74
2017-10-22,2003.4100000000001
2017-10-23,2223.29
2017-10-24,2324.6500000000001
2017-10-25,2057.3600000000001
2017-10-26,1456.8800000000001
2017-10-27,1495.5
2017-10-28,1053.6199999999999
2017-10-29,893.89999999999998
2017-10-30,-196.06
2017-10-31,832.5
2017-11-01,1255.52
2017-11-02,1524.7
2017-11-03,1343.77
2017-11-04,1748.26
2017-11-05,1606.55
2017-11-06,1626.71
2017-11-07,1461.1199999999999
2017-11-08,1757.1700000000001
2017-11-09,1616.23
2017-11-10,1793.0699999999999
2017-11-11,1613.99
2017-11-12,1754.5799999999999
2017-11-13,1622.3399999999999
2017-11-14,1741.25
2017-11-15,1073.0899999999999
2017-11-16,1013.3099999999999
2017-11-17,1282.5999999999999
2017-11-18,1827.26
2017-11-19,1817.2
2017-11-20,2145.0700000000002
2017-11-21,2138.4200000000001
2017-11-22,2646.98
2017-11-23,2701.4200000000001
2017-11-24,2979.98
2017-11-25,3031.23
2017-11-26,2989.1799999999998
2017-11-27,3347.7600000000002
2017-11-28,3496.7800000000002
2017-11-29,3486.0100000000002
2017-11-30,3030
2017-12-01,2300.0900000000001
2017-12-02,1812.6900000000001
2017-12-03,2190.4200000000001
2017-12-04,3013.3699999999999
2017-12-05,5113.29
2017-12-06,6599.5600000000004
2017-12-07,6204.1499999999996
2017-12-08,6141.2799999999997
2017-12-09,6520.7600000000002
2017-12-10,7056.7299999999996
2017-12-11,9022.0100000000002
2017-12-12,12424.299999999999
2017-12-13,12498.25
2017-12-14,10342.969999999999
2017-12-15,11200.360000000001
2017-12-16,10865.110000000001
2017-12-17,11947.540000000001
2017-12-18,12405.58
2017-12-19,8837.6299999999992
2017-12-20,6135.5799999999999
2017-12-21,7398.3699999999999
2017-12-22,5827.4499999999998
2017-12-23,4305.54
2017-12-24,3707.8099999999999
2017-12-25,4728.4200000000001
2017-12-26,5007.3500000000004
2017-12-27,4848.3299999999999
2017-12-28,4532.8500000000004
2017-12-29,4395.4799999999996
2017-12-30,3624.4200000000001
2017-12-31,4063.3600000000001
2018-01-01,3748.6799999999998
2018-01-02,2769.6199999999999
2018-01-03,2783.9200000000001
2018-01-04,2990.8400000000001
2018-01-05,3172.5700000000002
